TP (%),RPM,Lambda (AFR)
11,5947.21,11.61
12,5961.56,11.65
13,5987.61,11.65
14,6044.06,11.67
15,6150.28,11.7
16,6260.73,11.56
17,6314.54,11.47
18,6360.81,11.42
19,6417.32,11.4
20,6523.53,11.4
21,6703.87,11.41
22,6887.46,11.57
23,7032.01,11.64
24,7151.81,11.66
25,7270.27,11.7
26,7392.79,11.76
27,7532.01,11.81
9,8010.95,11.33
10,8015.82,11.35
11,8017.93,11.36
12,8019.6,11.38
13,8021.07,11.4
14,8021.99,11.41
15,8023.37,11.43
16,8024.88,11.45
17,8026.1,11.45
18,8028.31,11.47
19,8031.02,11.48
20,8034.42,11.5
21,8040.29,11.53
22,8047.54,11.57
23,8058.78,11.62
24,8072.2,11.66
25,8095.09,11.7
26,8127.88,11.71
15,8596.55,11.44
16,8624.68,11.38
17,8640.15,11.38
18,8650.97,11.41
19,8664.48,11.46
20,8676.76,11.51
21,8692.09,11.57
22,8716.31,11.65
23,8787.21,11.76
24,9152.79,11.74
7,9374.46,11.21
8,9371.87,11.21
9,9368.79,11.21
10,9364.45,11.2
11,9361,11.19
12,9357.45,11.17
13,9354.72,11.16
14,9354.13,11.18
15,9358.97,11.28
16,9373.52,11.33
17,9399.19,11.37
18,9424.7,11.44
19,9455.27,11.54
20,9493.14,11.66
21,9534.29,11.73
22,9569.79,11.75
23,9614.53,11.76
22,10016.84,11.82
23,10063.38,11.8
24,10126.46,11.77
2,9139.81,12.35
