TP (%),RPM,Lambda (AFR)
8.04,2362.4,11.75
8.041,2365.37,11.74
8.042,2368.33,11.73
8.043,2371.31,11.72
8.044,2374.32,11.71
8.045,2377.36,11.7
8.046,2380.37,11.69
8.047,2383.41,11.68
8.048,2389.48,11.66
8.049,2392.53,11.65
8.05,2401.63,11.62
8.051,2413.37,11.58
8.052,2431.04,11.52
8.053,2439.58,11.49
8.054,2448.29,11.46
8.055,2454.63,11.43
8.056,2457.58,11.42
8.057,2460.51,11.41
8.058,2463.96,11.4
8.059,2466.91,11.39
8.061,2469.87,11.38
8.062,2472.76,11.37
8.064,2476.13,11.36
8.066,2478.97,11.35
8.068,2481.77,11.35
8.069,2484.53,11.34
8.072,2487.8,11.33
8.074,2490.56,11.32
8.076,2493.29,11.31
8.078,2496.03,11.3
8.08,2499.21,11.29
8.082,2501.89,11.29
8.085,2504.58,11.28
8.087,2507.26,11.27
8.089,2510.4,11.26
8.09,2513.1,11.26
8.091,2515.82,11.25
2.311,2685,11.29
2.316,2684.91,11.27
2.323,2684.84,11.24
2.337,2684.56,11.22
2.355,2684.18,11.19
2.375,2683.81,11.16
2.399,2683.25,11.13
2.425,2682.6,11.1
2.449,2681.98,11.08
2.478,2681.19,11.05
2.508,2680.34,11.01
2.535,2679.56,10.99
2.566,2678.61,10.95
2.599,2677.6,10.92
2.627,2676.71,10.89
2.661,2675.63,10.86
2.695,2674.52,10.83
2.725,2673.54,10.8
2.759,2672.4,10.77
2.795,2671.24,10.74
2.825,2670.24,10.71
2.861,2669.09,10.68
2.897,2667.93,10.65
2.928,2666.96,10.63
2.963,2665.85,10.6
2.999,2664.76,10.58
3.029,2663.85,10.56
3.064,2662.81,10.53
3.099,2661.79,10.52
3.134,2660.75,10.49
3.168,2659.78,10.48
3.202,2658.84,10.47
3.236,2657.89,10.45
3.269,2657.03,10.45
3.296,2656.38,10.45
3.324,2655.71,10.45
3.355,2654.97,10.45
3.381,2654.43,10.45
3.407,2653.87,10.46
3.436,2653.27,10.47
3.465,2652.74,10.48
3.489,2652.32,10.5
3.516,2651.9,10.51
3.542,2651.54,10.53
3.565,2651.27,10.55
3.59,2651.03,10.58
3.614,2650.85,10.6
3.633,2650.79,10.63
3.656,2650.72,10.66
3.678,2650.69,10.69
3.695,2650.76,10.72
3.716,2650.83,10.76
3.737,2650.91,10.79
3.753,2651.09,10.82
3.772,2651.29,10.86
3.791,2651.5,10.9
3.805,2651.79,10.93
3.822,2652.12,10.97
3.839,2652.46,11.02
3.852,2652.86,11.05
3.867,2653.33,11.09
3.882,2653.8,11.13
3.893,2654.31,11.17
3.906,2654.91,11.2
3.919,2655.53,11.25
3.928,2656.14,11.28
3.939,2656.86,11.31
3.95,2657.62,11.35
3.958,2658.31,11.38
3.967,2659.11,11.41
3.975,2659.94,11.45
3.982,2660.66,11.47
3.99,2661.5,11.51
3.997,2662.36,11.53
4.002,2663.11,11.56
4.008,2663.98,11.59
4.014,2664.87,11.61
4.018,2665.65,11.63
4.023,2666.57,11.66
4.028,2667.5,11.68
4.032,2668.32,11.7
4.036,2669.27,11.72
4.04,2670.23,11.73
4.044,2671.08,11.75
4.048,2672.06,11.77
