TP (%),RPM,Lambda (AFR)
12.875,5179.98,11.32
12.932,5182.2,11.32
12.987,5184.43,11.32
13.038,5186.68,11.32
13.089,5188.93,11.32
13.136,5191.17,11.32
13.18,5193.43,11.32
13.222,5195.69,11.32
13.261,5197.96,11.32
13.296,5200.26,11.32
13.33,5202.59,11.32
13.361,5204.93,11.32
13.39,5207.48,11.32
13.412,5209.88,11.32
13.433,5212.3,11.32
13.448,5214.74,11.32
13.46,5217.2,11.32
13.47,5219.66,11.32
13.476,5222.13,11.32
13.477,5224.62,11.32
13.478,5227.3,11.32
8.941,5452.99,11.1
8.942,5455,11.1
8.945,5456.99,11.1
8.95,5458.98,11.09
8.957,5460.81,11.09
8.966,5462.78,11.09
8.976,5464.74,11.09
8.989,5466.68,11.09
9.004,5468.48,11.08
9.022,5470.39,11.08
9.042,5472.29,11.08
9.064,5474.17,11.08
9.088,5475.92,11.08
9.116,5477.79,11.08
9.147,5479.66,11.08
9.18,5481.54,11.08
9.215,5483.27,11.08
9.255,5485.13,11.08
9.297,5486.97,11.08
9.342,5488.82,11.08
9.389,5490.51,11.08
9.44,5492.34,11.08
9.495,5494.16,11.08
9.554,5495.99,11.08
9.615,5497.82,11.08
9.68,5499.65,11.08
9.749,5501.48,11.08
9.821,5503.32,11.09
9.895,5505.14,11.09
9.97,5506.82,11.09
10.05,5508.62,11.09
10.134,5510.41,11.1
10.22,5512.2,11.1
10.305,5513.84,11.1
10.397,5515.61,11.11
10.492,5517.38,11.11
10.591,5519.15,11.12
10.691,5520.91,11.12
10.793,5522.68,11.13
10.898,5524.44,11.13
11.005,5526.19,11.14
11.114,5527.94,11.15
11.219,5529.56,11.15
11.332,5531.31,11.16
11.447,5533.06,11.17
11.564,5534.82,11.18
11.683,5536.59,11.18
11.804,5538.37,11.19
11.927,5540.16,11.2
12.051,5541.96,11.21
12.178,5543.78,11.22
12.297,5545.49,11.23
12.426,5547.32,11.24
12.557,5549.19,11.25
12.689,5551.06,11.26
12.821,5552.94,11.27
12.954,5554.85,11.28
13.089,5556.79,11.3
13.225,5558.74,11.31
13.362,5560.74,11.32
13.5,5562.76,11.33
13.638,5564.82,11.34
13.776,5566.9,11.36
13.913,5569,11.37
14.051,5571.12,11.38
14.188,5573.27,11.39
14.325,5575.45,11.41
14.461,5577.68,11.42
14.598,5579.95,11.43
14.733,5582.26,11.44
14.868,5584.59,11.45
15.002,5586.94,11.47
15.135,5589.33,11.48
15.265,5591.73,11.49
15.394,5594.17,11.5
15.52,5596.67,11.51
15.644,5599.22,11.52
15.766,5601.81,11.53
15.887,5604.46,11.54
16.006,5607.14,11.55
16.123,5609.86,11.56
16.247,5612.81,11.58
16.36,5615.63,11.59
16.47,5618.49,11.59
16.576,5621.4,11.6
16.679,5624.34,11.61
16.781,5627.34,11.62
16.887,5630.57,11.63
16.983,5633.65,11.64
17.078,5636.78,11.65
17.17,5639.96,11.65
17.259,5643.16,11.66
17.348,5646.38,11.67
17.434,5649.64,11.68
17.518,5652.92,11.68
17.6,5656.22,11.69
17.679,5659.57,11.69
17.754,5662.99,11.7
17.834,5666.66,11.71
17.912,5670.38,11.71
17.981,5673.91,11.72
18.048,5677.47,11.72
18.113,5681.05,11.72
18.175,5684.65,11.73
18.235,5688.3,11.73
18.297,5692.21,11.73
18.357,5696.14,11.74
18.413,5700.11,11.74
18.462,5703.87,11.74
18.509,5707.63,11.74
18.554,5711.43,11.74
18.598,5715.27,11.75
18.638,5719.14,11.75
18.68,5723.28,11.75
18.72,5727.46,11.75
18.753,5731.38,11.75
18.783,5735.33,11.75
18.812,5739.27,11.75
18.839,5743.25,11.75
18.863,5747.24,11.75
18.889,5751.57,11.75
18.913,5755.92,11.75
18.935,5760.28,11.75
18.956,5764.66,11.75
18.974,5768.76,11.75
18.99,5772.86,11.75
19.005,5776.96,11.75
19.02,5781.06,11.75
19.033,5785.17,11.75
19.047,5789.59,11.75
19.06,5794.03,11.75
19.072,5798.47,11.75
19.083,5802.93,11.75
19.094,5807.4,11.75
19.103,5811.86,11.75
19.112,5816.33,11.75
19.12,5820.77,11.75
19.127,5824.94,11.75
19.133,5829.1,11.75
19.139,5833.26,11.75
19.145,5837.44,11.75
19.15,5841.63,11.75
19.154,5846.12,11.75
19.158,5850.6,11.75
19.161,5855.09,11.75
19.163,5859.58,11.75
19.164,5864.05,11.75
8.051,6134.04,11.61
8.074,6135.82,11.61
8.121,6137.34,11.6
8.183,6138.8,11.6
8.261,6140.2,11.6
8.364,6141.49,11.59
8.483,6142.73,11.59
8.619,6144.04,11.58
8.775,6145.28,11.58
8.95,6146.47,11.58
9.137,6147.64,11.57
9.344,6148.75,11.57
9.557,6149.71,11.57
9.785,6150.64,11.57
10.027,6151.51,11.57
10.28,6152.36,11.57
10.543,6153.18,11.57
10.815,6153.98,11.57
11.112,6154.81,11.57
11.416,6155.61,11.57
11.725,6156.36,11.57
12.038,6157.09,11.58
12.351,6157.81,11.58
12.644,6158.48,11.58
12.935,6159.16,11.58
13.225,6159.84,11.58
13.513,6160.53,11.58
13.801,6161.21,11.58
14.082,6161.93,11.58
14.377,6162.69,11.58
14.668,6163.48,11.58
14.952,6164.3,11.57
15.229,6165.16,11.57
15.502,6166.03,11.57
15.75,6166.93,11.56
15.987,6167.92,11.56
16.217,6168.96,11.56
16.44,6170.08,11.55
16.654,6171.26,11.55
16.862,6172.53,11.54
17.063,6173.82,11.54
17.271,6175.3,11.53
17.47,6176.86,11.53
17.662,6178.52,11.52
17.847,6180.29,11.52
18.028,6182.17,11.51
18.189,6184.06,11.51
18.347,6186.06,11.51
18.499,6188.13,11.5
18.647,6190.3,11.5
18.803,6192.66,11.5
18.956,6195.12,11.5
19.104,6197.68,11.5
19.25,6200.33,11.49
19.393,6203.08,11.49
19.522,6205.77,11.49
19.649,6208.5,11.49
19.772,6211.32,11.49
19.891,6214.21,11.49
20.016,6217.31,11.49
20.136,6220.47,11.49
20.251,6223.69,11.49
20.363,6226.96,11.49
20.471,6230.27,11.49
20.567,6233.43,11.49
20.659,6236.64,11.49
20.748,6239.88,11.48
20.839,6243.34,11.48
20.926,6246.83,11.48
21.008,6250.33,11.47
21.084,6253.86,11.47
21.158,6257.4,11.47
21.222,6260.74,11.46
21.288,6264.32,11.46
21.35,6267.96,11.45
21.409,6271.59,11.45
21.465,6275.25,11.45
21.518,6278.94,11.44
21.563,6282.43,11.44
21.607,6285.93,11.44
21.653,6289.7,11.43
21.697,6293.49,11.43
21.738,6297.33,11.42
21.779,6301.21,11.42
21.817,6305.13,11.42
21.852,6308.85,11.41
21.887,6312.84,11.41
21.922,6316.85,11.41
21.955,6320.89,11.41
21.987,6324.96,11.41
22.017,6329.05,11.4
22.046,6333.17,11.4
22.075,6337.33,11.4
22.102,6341.52,11.4
22.129,6345.74,11.4
22.154,6349.97,11.4
22.178,6354.2,11.4
22.202,6358.44,11.4
22.225,6362.69,11.41
22.247,6366.96,11.41
22.268,6371.23,11.41
22.288,6375.26,11.41
22.309,6379.55,11.41
22.329,6383.86,11.42
22.349,6388.17,11.42
22.368,6392.49,11.42
22.388,6397.05,11.43
22.406,6401.37,11.43
22.425,6405.67,11.44
22.442,6409.97,11.44
22.46,6414.27,11.45
22.477,6418.59,11.45
22.494,6422.9,11.46
22.511,6427.23,11.46
22.528,6431.56,11.47
22.546,6436.16,11.47
22.562,6440.49,11.48
22.578,6444.83,11.49
22.595,6449.16,11.49
22.612,6453.77,11.5
22.628,6458.11,11.5
22.643,6462.48,11.51
22.659,6466.86,11.52
22.676,6471.52,11.52
22.692,6475.9,11.53
22.708,6480.29,11.54
22.723,6484.68,11.55
22.74,6489.35,11.55
22.755,6493.77,11.56
22.771,6498.19,11.57
22.786,6502.65,11.57
22.803,6507.42,11.58
22.818,6511.91,11.59
22.833,6516.4,11.6
22.849,6521.17,11.6
22.864,6525.95,11.61
22.879,6530.43,11.62
22.893,6534.91,11.62
22.908,6539.68,11.63
22.921,6544.17,11.64
22.935,6548.67,11.65
22.949,6553.46,11.65
22.963,6558.22,11.66
22.976,6562.69,11.67
22.989,6567.42,11.68
23.002,6572.14,11.68
23.014,6576.56,11.69
23.025,6580.98,11.7
23.037,6585.67,11.7
23.048,6590.09,11.71
23.059,6594.5,11.72
23.07,6599.19,11.72
23.081,6603.85,11.73
23.091,6608.24,11.74
23.101,6612.88,11.74
23.111,6617.52,11.75
23.12,6621.88,11.75
23.13,6626.53,11.76
23.139,6631.16,11.76
23.147,6635.54,11.77
23.155,6640.18,11.77
23.164,6644.79,11.77
23.171,6649.14,11.78
23.179,6653.76,11.78
23.186,6658.37,11.79
23.193,6662.7,11.79
23.2,6667.32,11.79
23.206,6671.94,11.79
23.212,6676.3,11.8
23.218,6680.94,11.8
23.224,6685.57,11.8
23.23,6690.19,11.8
23.236,6694.84,11.8
23.241,6699.48,11.81
23.246,6704.12,11.81
23.251,6708.78,11.81
23.255,6713.19,11.81
23.259,6717.88,11.82
23.263,6722.57,11.82
23.267,6727.26,11.82
23.271,6731.95,11.82
23.275,6736.64,11.82
23.278,6741.33,11.83
23.282,6746.02,11.83
23.285,6750.72,11.83
23.289,6755.44,11.83
23.292,6760.14,11.84
23.295,6764.82,11.84
23.298,6769.5,11.84
23.301,6774.15,11.84
23.303,6778.79,11.84
23.306,6783.42,11.85
23.309,6788.04,11.85
23.311,6792.67,11.85
23.314,6797.27,11.85
23.316,6801.87,11.86
23.318,6806.46,11.86
23.321,6811.01,11.86
23.323,6815.57,11.86
23.325,6820.12,11.86
23.328,6824.67,11.86
23.33,6829.48,11.86
23.333,6834.06,11.87
23.335,6838.62,11.87
23.338,6843.2,11.87
23.341,6847.78,11.87
23.344,6852.35,11.87
23.347,6856.92,11.87
23.35,6861.77,11.87
23.352,6866.33,11.87
23.356,6871.19,11.87
23.359,6875.8,11.87
23.362,6880.69,11.87
23.364,6885.3,11.87
23.368,6890.19,11.87
23.37,6894.81,11.87
23.373,6899.42,11.88
23.376,6904.05,11.88
23.378,6908.68,11.88
23.381,6913.33,11.88
23.384,6917.98,11.88
23.386,6922.92,11.88
23.388,6927.57,11.88
23.39,6932.47,11.88
23.392,6937.1,11.88
6.349,7218.63,11.08
6.377,7219.2,11.06
6.419,7219.69,11.05
6.477,7220.12,11.04
6.544,7220.44,11.03
6.621,7220.69,11.02
6.707,7220.87,11.01
6.8,7220.99,11.01
6.9,7221.04,11
7.005,7221.03,11
7.114,7220.96,10.99
7.231,7220.82,10.99
7.343,7220.65,10.99
7.455,7220.43,10.99
7.564,7220.19,10.99
7.674,7219.93,10.99
7.782,7219.66,10.98
7.885,7219.38,10.98
7.988,7219.1,10.98
8.095,7218.79,10.98
8.19,7218.53,10.98
8.28,7218.29,10.98
8.367,7218.07,10.98
8.448,7217.9,10.98
8.526,7217.75,10.98
8.597,7217.68,10.98
8.666,7217.62,10.98
8.73,7217.61,10.98
8.786,7217.68,10.99
8.84,7217.78,10.99
8.889,7217.94,10.99
8.933,7218.17,10.99
8.976,7218.43,10.99
9.012,7218.76,11
9.044,7219.16,11
9.075,7219.6,11.01
9.101,7220.08,11.01
9.123,7220.65,11.02
9.144,7221.24,11.03
9.163,7221.89,11.04
9.18,7222.61,11.05
9.196,7223.35,11.06
9.21,7224.14,11.07
9.224,7224.98,11.09
9.237,7225.85,11.1
9.249,7226.77,11.11
9.261,7227.72,11.12
9.273,7228.71,11.14
9.285,7229.8,11.15
9.296,7230.86,11.16
9.306,7231.96,11.17
9.317,7233.09,11.18
9.327,7234.22,11.19
9.338,7235.38,11.2
9.348,7236.56,11.21
9.358,7237.76,11.21
9.368,7239.03,11.22
9.378,7240.26,11.23
9.388,7241.5,11.23
9.398,7242.82,11.23
9.407,7244.07,11.24
9.416,7245.33,11.24
9.426,7246.66,11.24
9.435,7247.93,11.25
9.444,7249.2,11.25
9.453,7250.48,11.25
9.462,7251.75,11.25
9.47,7253.04,11.25
9.479,7254.32,11.25
9.487,7255.59,11.25
9.496,7256.95,11.25
9.505,7258.22,11.25
9.513,7259.49,11.25
9.522,7260.84,11.25
9.53,7262.12,11.25
9.538,7263.38,11.25
9.546,7264.71,11.25
9.554,7265.96,11.25
9.562,7267.19,11.25
9.57,7268.49,11.25
9.577,7269.71,11.25
9.584,7270.91,11.25
9.592,7272.18,11.25
9.599,7273.36,11.25
9.607,7274.52,11.25
9.614,7275.74,11.25
9.621,7276.88,11.25
9.628,7278,11.25
9.634,7279.11,11.25
9.641,7280.2,11.25
9.647,7281.29,11.25
9.654,7282.37,11.25
9.66,7283.44,11.25
9.667,7284.55,11.25
9.673,7285.6,11.25
9.679,7286.65,11.25
9.685,7287.76,11.25
9.69,7288.81,11.25
9.696,7289.87,11.25
9.702,7290.98,11.25
9.707,7292.03,11.25
9.712,7293.07,11.25
9.717,7294.15,11.25
9.722,7295.17,11.25
9.727,7296.18,11.25
9.732,7297.24,11.25
9.737,7298.23,11.25
9.742,7299.22,11.25
9.747,7300.25,11.25
9.751,7301.22,11.25
9.755,7302.19,11.25
9.76,7303.2,11.25
9.764,7304.16,11.25
9.768,7305.13,11.25
9.773,7306.15,11.25
9.777,7307.12,11.25
9.781,7308.09,11.25
9.785,7309.13,11.25
9.79,7310.11,11.25
9.794,7311.09,11.25
9.798,7312.14,11.25
9.802,7313.13,11.25
9.806,7314.13,11.25
9.81,7315.19,11.25
9.814,7316.19,11.25
9.818,7317.2,11.25
9.822,7318.25,11.25
9.826,7319.31,11.25
9.83,7320.3,11.25
9.833,7321.35,11.25
9.837,7322.39,11.25
9.84,7323.38,11.25
9.844,7324.37,11.25
9.847,7325.41,11.25
9.85,7326.39,11.25
9.853,7327.37,11.25
9.856,7328.39,11.25
9.859,7329.36,11.25
9.862,7330.33,11.25
9.865,7331.36,11.25
9.867,7332.33,11.25
9.869,7333.3,11.25
9.872,7334.31,11.25
9.874,7335.33,11.25
9.876,7336.3,11.25
9.878,7337.32,11.25
9.881,7338.35,11.25
9.882,7339.33,11.25
9.884,7340.32,11.25
9.886,7341.37,11.25
9.888,7342.37,11.25
9.89,7343.38,11.25
9.891,7344.44,11.25
9.893,7345.46,11.25
9.895,7346.49,11.25
9.897,7347.57,11.25
9.898,7348.61,11.25
9.9,7349.65,11.25
9.902,7350.75,11.25
9.903,7351.84,11.25
9.905,7352.89,11.25
9.907,7353.99,11.25
9.908,7355.09,11.25
9.91,7356.13,11.25
9.912,7357.17,11.25
9.914,7358.28,11.25
9.915,7359.32,11.25
9.917,7360.37,11.25
9.919,7361.48,11.25
9.921,7362.59,11.25
9.922,7363.64,11.25
9.924,7364.77,11.25
9.925,7365.9,11.25
9.927,7366.97,11.25
9.929,7368.06,11.25
9.93,7369.21,11.25
9.932,7370.3,11.25
9.933,7371.39,11.25
9.935,7372.55,11.25
9.936,7373.71,11.25
9.938,7374.8,11.25
9.939,7375.96,11.25
9.941,7377.1,11.25
9.942,7378.18,11.25
9.944,7379.25,11.25
9.945,7380.38,11.25
9.947,7381.45,11.25
9.948,7382.52,11.25
9.95,7383.65,11.25
9.952,7384.78,11.25
9.953,7385.85,11.25
9.955,7386.97,11.25
9.956,7388.1,11.25
9.958,7389.17,11.25
9.959,7390.23,11.25
9.961,7391.36,11.25
9.962,7392.49,11.25
9.963,7393.55,11.25
9.965,7394.67,11.25
9.966,7395.78,11.25
9.967,7396.82,11.25
9.968,7397.86,11.25
9.969,7398.95,11.25
9.97,7400.03,11.25
9.971,7401.06,11.25
9.972,7402.14,11.25
9.973,7403.22,11.25
9.974,7405.24,11.24
9.975,7406.31,11.24
9.976,7408.37,11.24
9.977,7409.44,11.24
9.978,7411.55,11.24
9.979,7412.55,11.24
9.98,7414.64,11.24
9.981,7416.61,11.24
9.982,7418.7,11.24
9.983,7419.7,11.24
9.984,7421.79,11.24
9.985,7424.88,11.24
9.962,7501.69,11.24
9.963,7505.05,11.24
9.964,7507.19,11.24
9.965,7510.38,11.24
9.966,7512.51,11.24
9.967,7515.65,11.24
9.968,7518.74,11.24
9.969,7521.75,11.24
9.97,7523.78,11.24
9.971,7526.79,11.24
9.972,7528.75,11.24
9.973,7530.76,11.24
9.974,7531.75,11.24
9.975,7533.75,11.24
9.976,7534.74,11.24
9.977,7536.74,11.24
9.978,7537.74,11.24
9.979,7539.74,11.24
9.98,7540.74,11.24
9.981,7541.73,11.24
9.982,7543.67,11.24
9.983,7544.67,11.24
9.984,7545.67,11.24
9.985,7546.66,11.24
9.986,7547.71,11.24
9.987,7549.7,11.24
9.988,7550.69,11.24
9.989,7551.68,11.24
9.99,7552.63,11.24
9.991,7554.64,11.24
9.992,7556.67,11.24
8.507,7680.52,11.04
8.508,7682.99,11.04
8.509,7684.78,11.04
8.51,7685.39,11.04
8.511,7686.03,11.04
8.512,7686.68,11.04
8.514,7687.3,11.04
8.516,7687.93,11.05
8.518,7688.58,11.05
8.521,7689.23,11.05
8.524,7689.89,11.05
8.528,7690.59,11.05
8.533,7691.3,11.05
8.538,7691.97,11.05
8.545,7692.65,11.05
8.552,7693.33,11.05
8.56,7694.01,11.05
8.569,7694.69,11.05
8.58,7695.41,11.05
8.591,7696.13,11.05
8.604,7696.84,11.05
8.618,7697.52,11.05
8.633,7698.18,11.05
8.65,7698.85,11.06
8.667,7699.52,11.06
8.686,7700.18,11.06
8.707,7700.87,11.06
8.728,7701.56,11.06
8.751,7702.24,11.06
8.775,7702.88,11.06
8.8,7703.52,11.06
8.826,7704.15,11.06
8.853,7704.78,11.06
8.881,7705.4,11.06
8.91,7706.05,11.06
8.94,7706.7,11.06
8.97,7707.32,11.07
9.001,7707.92,11.07
9.033,7708.53,11.07
9.065,7709.14,11.07
9.098,7709.74,11.07
9.132,7710.38,11.08
9.167,7711.02,11.08
9.202,7711.66,11.08
9.236,7712.28,11.08
9.27,7712.9,11.09
9.305,7713.53,11.09
9.34,7714.17,11.09
9.375,7714.82,11.09
9.411,7715.51,11.1
9.448,7716.21,11.1
9.484,7716.92,11.1
9.519,7717.6,11.11
9.553,7718.3,11.11
9.586,7719,11.12
9.62,7719.71,11.12
9.651,7720.42,11.12
9.684,7721.18,11.13
9.715,7721.94,11.13
9.744,7722.7,11.14
9.771,7723.47,11.14
9.795,7724.21,11.15
9.816,7724.95,11.15
9.835,7725.7,11.16
9.85,7726.45,11.16
9.862,7727.21,11.16
9.87,7728.01,11.17
9.873,7728.82,11.17
2.073,7415.58,12.69
1.897,6969.29,12.8
1.898,6963.34,12.8
1.899,6957.35,12.8
1.901,6954.45,12.8
1.902,6951.36,12.8
1.904,6948.45,12.8
1.906,6945.38,12.8
1.908,6942.46,12.8
1.91,6939.37,12.8
1.913,6936.45,12.8
1.916,6933.34,12.8
1.919,6930.39,12.81
1.922,6927.27,12.81
1.925,6924.33,12.81
1.929,6921.37,12.81
1.933,6918.41,12.81
1.937,6915.46,12.81
1.941,6912.5,12.82
1.946,6909.54,12.82
1.951,6906.41,12.82
1.956,6903.44,12.82
1.961,6900.29,12.82
1.967,6897.33,12.83
1.973,6894.2,12.83
1.98,6891.24,12.83
1.986,6888.1,12.83
1.993,6885.14,12.83
2.001,6882.18,12.84
2.009,6879.22,12.84
2.017,6876.27,12.84
2.026,6873.33,12.84
2.035,6870.4,12.84
2.045,6867.3,12.84
2.056,6864.39,12.84
2.067,6861.31,12.84
2.079,6858.41,12.84
2.091,6855.52,12.84
2.104,6852.62,12.84
2.117,6849.73,12.84
2.132,6846.85,12.84
2.146,6843.97,12.84
2.162,6840.91,12.83
2.178,6838.02,12.83
2.196,6834.96,12.82
2.213,6832.07,12.81
2.231,6829.15,12.81
2.25,6826.23,12.8
2.269,6823.3,12.79
2.288,6820.38,12.77
2.308,6817.46,12.76
2.33,6814.36,12.74
2.351,6811.44,12.72
2.372,6808.51,12.7
2.394,6805.57,12.67
2.417,6802.62,12.64
2.44,6799.67,12.61
2.463,6796.73,12.58
2.486,6793.8,12.55
2.509,6790.89,12.51
2.533,6787.97,12.47
2.557,6785.06,12.43
2.581,6782.16,12.38
2.605,6779.26,12.34
2.63,6776.37,12.29
2.654,6773.5,12.23
2.679,6770.65,12.18
2.704,6767.82,12.13
2.729,6765.02,12.07
2.754,6762.23,12.01
2.778,6759.45,11.95
2.803,6756.68,11.89
2.828,6753.91,11.82
2.853,6751.16,11.76
2.878,6748.43,11.7
2.902,6745.72,11.63
2.925,6743.2,11.57
2.949,6740.55,11.5
2.973,6737.92,11.44
2.997,6735.29,11.37
3.02,6732.69,11.3
3.043,6730.09,11.24
3.066,6727.5,11.17
3.088,6724.93,11.1
3.108,6722.54,11.04
3.129,6720,10.97
3.149,6717.49,10.91
3.167,6715,10.84
3.185,6712.51,10.78
3.202,6710.05,10.72
3.217,6707.61,10.65
3.231,6705.16,10.59
3.241,6702.89,10.53
3.252,6700.5,10.47
3.261,6698.13,10.41
3.266,6695.94,10.36
3.271,6693.63,10.3
3.274,6691.33,10.24
3.275,6689.06,10.19
2.031,6442.21,12.55
2.032,6433.06,12.55
2.033,6427.13,12.55
2.034,6421.04,12.54
2.035,6418.08,12.54
2.036,6415.14,12.54
2.037,6412.22,12.54
2.038,6409.31,12.54
2.039,6406.43,12.54
2.04,6403.57,12.54
2.041,6400.72,12.53
2.042,6397.87,12.53
2.044,6395.03,12.53
2.045,6392.19,12.53
2.046,6389.34,12.53
2.048,6386.51,12.52
2.049,6383.68,12.52
2.051,6380.87,12.52
2.052,6378.08,12.51
2.054,6375.3,12.51
2.055,6372.52,12.5
2.057,6369.75,12.5
2.058,6366.96,12.49
2.06,6364.16,12.49
2.062,6361.36,12.48
2.063,6358.55,12.48
2.065,6355.75,12.47
2.066,6352.95,12.47
2.068,6350.14,12.46
2.069,6347.33,12.45
2.071,6344.51,12.45
2.072,6341.67,12.44
2.074,6338.82,12.43
2.075,6335.97,12.42
2.076,6333.11,12.42
2.078,6330.26,12.41
2.079,6327.42,12.4
2.081,6324.76,12.39
2.082,6321.92,12.38
2.084,6319.08,12.38
2.085,6316.25,12.37
2.087,6313.41,12.36
2.088,6310.57,12.35
2.09,6307.93,12.34
2.091,6305.1,12.33
2.093,6302.3,12.33
2.094,6299.51,12.32
2.095,6296.72,12.31
2.097,6293.94,12.3
2.098,6291.34,12.3
2.1,6288.57,12.29
2.101,6285.78,12.28
2.103,6283,12.28
2.104,6280.21,12.27
2.106,6277.41,12.27
2.107,6274.78,12.26
2.109,6271.99,12.25
2.11,6269.18,12.25
2.112,6266.36,12.24
2.113,6263.54,12.24
2.115,6260.7,12.23
2.117,6258.03,12.23
2.118,6255.35,12.22
2.12,6252.67,12.22
2.121,6249.81,12.21
2.123,6246.95,12.21
2.125,6244.1,12.2
2.127,6241.23,12.19
2.129,6238.36,12.19
2.131,6235.67,12.18
2.133,6232.97,12.17
2.135,6230.07,12.16
2.138,6227.18,12.15
2.141,6224.29,12.14
2.145,6221.4,12.13
2.149,6218.51,12.12
2.154,6215.81,12.11
2.16,6213.12,12.1
2.167,6210.42,12.09
2.175,6207.54,12.08
2.184,6204.66,12.06
2.195,6201.78,12.05
2.208,6198.89,12.03
2.222,6196.02,12.02
2.237,6193.33,12
2.254,6190.64,11.99
2.272,6187.95,11.97
2.293,6185.27,11.95
2.315,6182.57,11.94
2.34,6179.69,11.91
2.367,6176.81,11.89
2.395,6173.93,11.87
2.423,6171.04,11.85
2.453,6168.18,11.82
2.482,6165.48,11.79
2.512,6162.8,11.77
2.542,6160.12,11.74
2.572,6157.44,11.71
2.602,6154.75,11.68
2.631,6152.07,11.64
2.662,6149.2,11.61
2.692,6146.33,11.57
2.721,6143.48,11.53
2.749,6140.64,11.49
2.775,6137.81,11.45
2.799,6135.18,11.41
2.821,6132.57,11.37
2.842,6129.96,11.33
2.861,6127.35,11.28
2.878,6124.76,11.24
2.894,6122.19,11.2
2.909,6119.62,11.16
2.922,6117.08,11.11
2.935,6114.39,11.07
2.947,6111.73,11.02
2.957,6109.1,10.98
2.966,6106.49,10.94
2.972,6103.91,10.9
2.977,6101.52,10.86
2.98,6099.15,10.82
2.982,6096.79,10.79
2.983,6094.47,10.76
2.984,6092.15,10.73
2.985,6089.87,10.7
2.197,5965.07,11.92
2.199,5962,11.96
2.202,5958.9,12
2.206,5955.77,12.03
2.213,5952.59,12.06
2.222,5949.39,12.09
2.233,5946.14,12.12
2.248,5942.87,12.15
2.266,5939.58,12.17
2.288,5936.26,12.19
2.314,5932.94,12.21
2.344,5929.81,12.23
2.376,5926.66,12.24
2.412,5923.49,12.25
2.451,5920.3,12.27
2.495,5917.09,12.28
2.544,5913.63,12.28
2.599,5910.16,12.29
2.658,5906.7,12.29
2.721,5903.25,12.29
2.786,5899.81,12.29
2.854,5896.37,12.29
2.923,5892.92,12.28
2.993,5889.47,12.28
3.064,5886.02,12.27
3.135,5882.57,12.26
3.207,5879.15,12.24
3.28,5875.77,12.23
3.351,5872.43,12.21
3.42,5869.11,12.19
3.487,5865.83,12.17
3.551,5862.58,12.14
3.613,5859.37,12.12
3.668,5856.4,12.1
3.72,5853.48,12.07
3.77,5850.58,12.05
3.815,5847.72,12.02
3.857,5844.9,11.99
3.9,5841.91,11.96
3.939,5838.96,11.93
3.975,5836.06,11.9
4.009,5833.19,11.87
4.041,5830.35,11.84
4.071,5827.54,11.81
4.098,5824.77,11.78
4.123,5822.03,11.76
4.14,5819.51,11.73
4.154,5817.01,11.7
4.169,5814.54,11.68
4.182,5812.08,11.66
4.193,5809.65,11.64
4.206,5807.05,11.61
4.217,5804.46,11.59
4.223,5801.9,11.57
4.227,5799.34,11.56
4.233,5796.77,11.54
4.236,5794.21,11.53
2.68,5655.5,12.57
2.681,5648.9,12.6
2.682,5645.57,12.62
2.684,5642.01,12.63
2.685,5638.44,12.65
2.686,5635.11,12.65
2.687,5631.79,12.66
2.689,5628.44,12.67
2.69,5625.08,12.67
2.691,5621.72,12.67
2.692,5618.35,12.67
2.693,5614.99,12.67
2.695,5611.64,12.67
2.696,5608.31,12.67
2.697,5604.99,12.67
2.698,5601.43,12.66
2.699,5598.12,12.66
2.7,5591.53,12.65
2.701,5588.22,12.64
2.702,5581.66,12.63
2.703,5578.39,12.62
2.704,5568.68,12.59
2.511,5212.32,12.19
2.512,5206.21,12.18
2.513,5203.17,12.18
2.515,5200.13,12.18
2.517,5196.87,12.18
2.519,5193.87,12.18
2.522,5190.87,12.18
2.525,5187.87,12.17
2.529,5184.88,12.17
2.533,5182.12,12.17
2.538,5179.13,12.16
2.543,5176.15,12.16
2.549,5173.19,12.15
2.555,5170.25,12.14
2.562,5167.32,12.14
2.57,5164.4,12.13
2.578,5161.51,12.12
2.587,5158.63,12.11
2.597,5155.77,12.1
2.607,5152.91,12.09
2.618,5150.07,12.08
2.629,5147.21,12.06
2.642,5144.35,12.05
2.655,5141.49,12.03
2.669,5138.64,12.02
2.683,5135.79,12
2.698,5133.17,11.98
2.714,5130.33,11.96
2.73,5127.5,11.94
2.748,5124.69,11.92
2.766,5121.86,11.9
2.784,5119.04,11.88
2.804,5116.21,11.86
2.823,5113.59,11.83
2.844,5110.75,11.81
2.865,5107.91,11.78
2.887,5105.08,11.75
2.909,5102.25,11.72
2.932,5099.42,11.69
2.955,5096.62,11.65
2.976,5094.06,11.62
3,5091.28,11.59
3.024,5088.51,11.55
3.049,5085.75,11.51
3.074,5082.97,11.48
3.1,5080.19,11.44
3.125,5077.43,11.4
3.149,5074.88,11.36
3.176,5072.13,11.32
3.2,5069.61,11.28
3.226,5066.87,11.23
3.251,5064.38,11.19
3.277,5061.69,11.15
3.302,5059.23,11.11
3.328,5056.57,11.06
3.354,5053.92,11.02
3.381,5051.28,10.97
3.407,5048.65,10.92
3.433,5046.04,10.88
3.459,5043.46,10.83
3.482,5041.12,10.79
3.508,5038.58,10.75
3.53,5036.26,10.71
3.555,5033.78,10.66
